Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status
REF-57873-5866131b-5b2f-4114-9191-6189bc25ba1b,BR-P1-1-345773,0,2022-11-15 17:16:38,2022-11-15 17:25:03,8.82,1.0,50.0,0.0,0.0,0.0,BRL,0.0,BR,0,1-1-,MC,Mastercard,CREDIT_CARD,REFUNDED
T-57873-d9fe0828-b572-4a16-b483-d6d6bd93970a,PE-P1-1-604019,DLPA0288000009111821,2022-11-15 17:18:23,2022-11-15 17:18:22,10.21,0.74,41.43,3.0076,0.0,0.0,PEN,4.059,PE,3b9aa9e0-fa99-11eb-83f3-2b5d79ebff67,1-1-,VD,Visa Debit,DEBIT_CARD,PAID
REF-57873-7fcdb50a-b606-41ae-a59f-3cbe616fe0fa,PE-P1-1-604019,0,2022-11-15 17:18:49,2022-11-15 17:25:08,10.21,1.0,41.43,0.0,0.0,0.0,PEN,0.0,PE,0,1-1-,VD,Visa Debit,DEBIT_CARD,REFUNDED
T-57873-be276512-7631-4f84-861a-31e10d7ac65b,BR-P2-12-748241,0,2022-11-15 17:22:38,0,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-12,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-1f1e381e-b53e-4c8c-ad94-6f658f2f84ff,BR-P2-1-388176,0,2022-11-15 17:24:52,0,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-1-,MC,Mastercard,CREDIT_CARD,REJECTED
278091691,0,0,2022-11-15 17:25:03,2022-11-15 17:25:03,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
278091752,0,0,2022-11-15 17:25:08,2022-11-15 17:25:08,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
T-57873-48ce9eda-4c64-4489-bc51-4b486a344b0d,CO-P2-1-602332,211011,2022-11-15 17:34:01,2022-11-15 17:34:01,27.56,1.6,141429.0,8202.882,0.0,0.0,COP,5131.4706,CO,3c09ef83-3cef-4d72-883d-1ef4429bcdef,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID
T-57873-4f5b475b-32b9-4c8b-9381-d56ad0ce5fd2,PE-P2-1-351280,DLPA0288000011113507,2022-11-15 17:35:09,2022-11-15 17:35:08,27.8,1.67,112.86,6.7936,0.0,0.0,PEN,4.06,PE,3b9aa9e0-fa99-11eb-83f3-2b5d79ebff67,2-1-,VD,Visa Debit,DEBIT_CARD,PAID
REF-57873-e2243f2c-4187-42f6-814c-9a5ee71f796c,PE-P2-1-351280,0,2022-11-15 17:35:48,2022-11-15 17:45:01,27.8,1.0,112.86,0.0,0.0,0.0,PEN,0.0,PE,0,2-1-,VD,Visa Debit,DEBIT_CARD,REFUNDED
T-57873-ddb101fe-b3f7-475d-99eb-c1c26f41e1ca,PA-P2-1-145684,0,2022-11-15 17:38:06,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-d0562948-b931-4cea-b133-b0cbbb1e05f0,PA-P2-1-868308,0,2022-11-15 17:39:07,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-8587e73d-5059-4874-a0cf-284fd2e9da8d,PE-P1-1-289674,0,2022-11-15 17:43:09,0,10.21,0.74,41.43,3.0076,0.0,0.0,PEN,4.059,PE,64ae1300-64df-11eb-b8be-159f3c3d2ef8,1-1-,VI,Visa,CREDIT_CARD,REJECTED
T-57873-38a8a718-b789-42bc-801b-4440f9c954d0,PE-P1-1-480091,DLPA0288000013114322,2022-11-15 17:43:23,0,10.21,0.74,41.43,3.0076,0.0,0.0,PEN,4.059,PE,64ae1300-64df-11eb-b8be-159f3c3d2ef8,1-1-,VI,Visa,CREDIT_CARD,REJECTED
278092745,0,0,2022-11-15 17:45:01,2022-11-15 17:45:01,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
T-57873-1787ea3b-ed3f-4b96-a978-ebc1d6ba5e02,PA-P2-1-298885,0,2022-11-15 17:47:44,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-c4694716-668a-4ac5-8a20-43ce2405496a,PA-P1-1-786471,0,2022-11-15 17:48:24,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,6b264f60-f29f-11ea-a207-ebf475435f1d,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-93e95759-68ca-4c23-b18b-8537f76de6e8,PA-P1-1-667780,0,2022-11-15 17:48:34,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,6b264f60-f29f-11ea-a207-ebf475435f1d,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-71db72e5-bbe8-44a4-a2ad-31e902455b6a,BR-P1-1-199126,2032385239,2022-11-15 17:49:37,2022-11-15 17:49:36,8.82,0.28,50.0,1.6,0.0,0.0,BRL,5.6455,BR,732afce6-0bcc-47a8-aa53-297e2bae67fb,1-1-,MC,Mastercard,CREDIT_CARD,PAID
T-57873-fe37dcde-6ca3-4db2-afcc-ae6a726db2ea,PA-P2-1-885530,0,2022-11-15 17:49:59,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-888a8ab0-2512-4833-b0b4-45b49369ba46,PA-P2-12-929007,0,2022-11-15 17:53:11,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-1a9672a7-443b-459e-b353-947225bae939,PA-P2-12-502740,0,2022-11-15 17:53:51,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-6477d414-2ef4-4a54-a410-8b4742aec93c,PA-P2-12-542236,0,2022-11-15 17:54:35,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-8691c7ee-5dde-4da0-b78a-37e76f7d2b14,PA-P2-12-312087,0,2022-11-15 17:57:08,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-1484d1f5-22bf-4d94-8508-4441bd9a3a9b,PA-P2-12-997062,0,2022-11-15 18:01:25,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-12,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-289231d6-c172-4193-b801-69b9da4cdce5,PA-P2-12-203326,0,2022-11-15 18:02:14,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-12,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-ecaf6f3a-6ad1-44e9-81c4-3966fde928c1,PA-P2-6-560351,0,2022-11-15 18:04:40,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-6-,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-b9d5cf3a-6b70-4469-ab7f-6d42e44527c2,PA-P2-6-224983,0,2022-11-15 18:05:36,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-6-,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-806f62c5-1b33-447c-b8d5-1f22940d7b2a,CO-P1-1-905016,314318860,2022-11-15 18:06:49,2022-11-15 18:06:49,9.42,0.55,48571.0,2817.118,0.0,0.0,COP,5153.508,CO,b8bd2e47-6894-43bc-8b06-828c1f5e14e3,1-1-,VI,Visa,CREDIT_CARD,PAID
D-57873-6b942ae3-6c3f-4744-acd5-b51dda58bba3,BR-P2-1-950258,QRS1TX75TKPHSOE2NMRU4Q91P4Z3RWESUFH,2022-11-15 18:10:32,2022-11-15 18:12:50,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,9a46e480-43d7-11eb-8f5d-43af36418b8a,2-1-,PQ,PIX QR,CASH,PAID
T-57873-f4c43cb4-76df-436c-9154-09c8b0a15a9c,PA-P2-3-133053,0,2022-11-15 18:12:38,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,MC,Mastercard,CREDIT_CARD,REJECTED
D-57873-260b2ccf-763f-4c68-9d36-874db755547e,BR-P2-1-719169,QRS1TXHPOZAKRMGZZBY0XMHSDBLGEUHHPNR,2022-11-15 18:14:16,0,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,67832620-e19a-483c-9b88-b7eae8d771dd,2-1-,PQ,PIX QR,CASH,REJECTED
T-57873-7964fc1d-84b2-431f-a9f4-179a366b2f6a,PA-P2-3-741511,0,2022-11-15 18:16:22,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,VI,Visa,CREDIT_CARD,REJECTED
T-57873-9723c6e0-8711-42d9-b375-ee92a3724540,PA-P2-3-118738,0,2022-11-15 18:19:13,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,VI,Visa,CREDIT_CARD,REJECTED
T-57873-9cd17f71-0539-48ef-a54b-070bd671f1db,BR-P2-1-709380,2032434993,2022-11-15 18:19:39,2022-11-15 18:19:38,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,67832620-e19a-483c-9b88-b7eae8d771dd,2-1-,MC,Mastercard,CREDIT_CARD,PAID
T-57873-1eeb50d8-66b5-496a-8dda-7c8901e2c0f1,PE-P2-12-110190,DLPA0288000014122102,2022-11-15 18:21:03,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-9e43c3a1-b0c5-40e4-badb-1e8d2b1423ec,PE-P2-12-273426,DLPA0288000015122143,2022-11-15 18:21:43,0,233.5,12.58,948.0,51.056,0.0,0.0,PEN,4.06,PE,b31b4859-a9ec-4549-9bdb-7a7e831cce3b,2-12,VI,Visa,CREDIT_CARD,REJECTED
T-57873-c58b5aa5-45ab-464f-9033-5509c2749c62,MX-P1-6-764858,820044175302,2022-11-15 18:23:08,2022-11-15 18:23:07,46.4,1.48,953.16,30.5011,0.0,0.0,MXN,20.5438,MX,49354910-f46b-11eb-a813-a37648ab215c,1-6-,MD,MasterCard Debit,DEBIT_CARD,PAID
T-57873-fc9a8943-3a74-4082-b379-bfd59731a15e,MX-P2-12-920651,920044036408,2022-11-15 18:29:29,2022-11-15 18:29:28,232.83,7.45,4788.0,153.216,0.0,0.0,MXN,20.5645,MX,ffb7790f-aac5-44c4-b5de-6263c6f4129a,2-12,VD,Visa Debit,DEBIT_CARD,PAID
D-57873-c4832d21-a70d-4023-967e-a9c68db31f26,BR-P1-12-972080,QRS1TX2TWQO79Q0DRFA1KDHYAFMNFL59IQI,2022-11-15 18:29:48,0,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,7cb762c0-06b6-11ec-9c1c-bdaf03bdd9d0,1-12,PQ,PIX QR,CASH,REJECTED
T-57873-7b8a4e22-5946-44f7-89d1-49316993463f,4e2396d9-9fd3-4d2d-8864-06a9d3be1738,DLPA0288000016123530,2022-11-15 18:35:32,2022-11-15 18:35:31,0.25,0.21,1.0,0.865,0.0,0.0,PEN,4.06,PE,0,96d9,VI,Visa,CREDIT_CARD,PAID
T-57873-597df632-2d5d-49fa-81e5-4c1523f9a098,9e1c957d-d72a-4679-a492-ca8f86b9edd2,0,2022-11-15 18:36:36,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,957d,VI,Visa,CREDIT_CARD,REJECTED
T-57873-82e847b8-364d-41cc-b289-f91122224372,8ce3bb42-62c4-4250-9728-2cad6306acf7,DLPA0288000017123953,2022-11-15 18:39:55,2022-11-15 18:39:54,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,bb42,VI,Visa,CREDIT_CARD,PAID
T-57873-e4490959-fe09-4042-821a-a0c22f756f09,PA-P2-1-410178,DLPA0288000018124514,2022-11-15 18:45:16,2022-11-15 18:45:15,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,89859c40-22fd-11ec-b995-7165a5a26db0,2-1-,VD,Visa Debit,DEBIT_CARD,PAID
REF-57873-1c0df30b-7c82-412a-8f4d-74c13ea23850,4e2396d9-9fd3-4d2d-8864-06a9d3be1738,0,2022-11-15 18:47:05,2022-11-15 18:55:03,0.25,1.0,1.0,0.0,0.0,0.0,PEN,0.0,PE,0,96d9,VI,Visa,CREDIT_CARD,REFUNDED
REF-57873-7cc569fb-a1ee-422f-953a-e7a00d9adf0d,8ce3bb42-62c4-4250-9728-2cad6306acf7,0,2022-11-15 18:47:24,2022-11-15 18:55:05,1.0,1.0,1.0,0.0,0.0,0.0,USD,0.0,PA,0,bb42,VI,Visa,CREDIT_CARD,REFUNDED
D-57873-b67fe9d0-e5a8-429d-9013-15f5a50fefef,BR-P2-1-644834,QRS1TXWHWDDKFRJOVKTDZSIYVFDFWB4Y77Z,2022-11-15 18:52:31,2022-11-15 18:53:42,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-1-,PQ,PIX QR,CASH,PAID
278115498,0,0,2022-11-15 18:55:03,2022-11-15 18:55:03,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
278115500,0,0,2022-11-15 18:55:05,2022-11-15 18:55:05,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
T-57873-6f2fae65-cfec-4a5f-85ed-3b34f80da998,PE-P1-1-447834,DLPA0288000021130852,2022-11-15 19:08:55,2022-11-15 19:08:54,10.2,0.74,41.43,3.0078,0.0,0.0,PEN,4.06,PE,537bc8f0-4c82-11ec-8b08-5bb0dd884e0c,1-1-,MC,Mastercard,CREDIT_CARD,PAID
REF-57873-8e6000f0-c36a-46f3-8dfd-7d05aa508dbf,PE-P1-1-447834,0,2022-11-15 19:22:19,2022-11-15 19:25:08,10.2,1.0,41.43,0.0,0.0,0.0,PEN,0.0,PE,0,1-1-,MC,Mastercard,CREDIT_CARD,REFUNDED
278116837,0,0,2022-11-15 19:25:08,2022-11-15 19:25:08,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,DEBITED
T-57873-b5efc75a-3d4c-47ea-a9dd-e4565d9f3c4f,PA-P1-1-629796,0,2022-11-15 19:25:55,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-0cd1d625-9573-404a-bbf6-72bf318177fa,PA-P1-1-639331,0,2022-11-15 19:26:43,0,10.0,0.5,10.0,0.495,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,1-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED
T-57873-7a3c9353-c3b5-4f98-9720-16160d4f265f,953efe8d-6829-4eed-a953-16c8cabbd920,2032556990,2022-11-15 19:32:12,2022-11-15 19:32:11,1.0,0.03,5.65,0.1808,0.0,0.0,BRL,5.6455,BR,0,fe8d,MC,Mastercard,CREDIT_CARD,PAID
T-57873-d9e07f24-c3e9-40ef-aedc-6a72f97558cd,005452da-7f33-45ad-a7ca-7484a8299f66,0,2022-11-15 19:33:44,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,52da,MC,Mastercard,CREDIT_CARD,REJECTED
T-57873-d19be1e5-5e18-4553-ab0f-516f15feaf62,MX-P1-1-475729,820044250429,2022-11-15 19:35:15,2022-11-15 19:35:15,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5492,MX,84fdb740-61ae-11eb-9a50-d10dfc215e29,1-1-,MD,MasterCard Debit,DEBIT_CARD,PAID
T-57873-9c0acd6a-743c-4a2f-b7b3-75707a1cb34e,PE-P1-1-476929,DLPA0288000023133848,2022-11-15 19:38:49,2022-11-15 19:38:49,10.2,0.74,41.43,3.0078,0.0,0.0,PEN,4.06,PE,771c3b70-6c4c-11ec-9577-6fe2da5d3416,1-1-,VD,Visa Debit,DEBIT_CARD,PAID
T-57873-650179bc-1a3a-4e79-b904-5169f63277bf,dLocalTest-0315c147-e1c9-44bd-8130-aaabd967f6dc,0,2022-11-15 19:47:55,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-ccb8cff9-d74a-4e4a-ab47-3db6b7e2fb13,dLocalTest-8330b3b4-05ee-4d65-bdc6-fcfcb9a570a6,0,2022-11-15 19:47:59,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-8097f51a-df00-45e7-a31c-f6b00f1c0c01,dLocalTest-d9e38a67-299d-4a9c-a963-f35dba0f5e0c,DLPA0288000024134801,2022-11-15 19:48:02,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-5b9b3c19-cf12-4308-825e-c6e576e80275,dLocalTest-773fa39d-4f6a-42d6-8c6b-f3c4c185b7bf,DLPA0288000025134805,2022-11-15 19:48:06,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-cccd3029-3403-4cee-a6b3-3e18621b43ba,dLocalTest-8bd52045-74dd-43f5-8afc-dcbc91f9eb86,0,2022-11-15 19:48:08,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-32bafb47-e5cb-4457-9a37-7c646ddddc18,dLocalTest-66da3906-2528-4c19-ae49-30d97a1d0891,DLPA0288000026134810,2022-11-15 19:48:11,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-5deb3ef4-915d-472b-864b-f22a5fd3b8ec,dLocalTest-d497ca69-ed17-43f8-802a-82a4b9319bd6,DLPA0288000027134814,2022-11-15 19:48:14,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-30957218-0eaf-443a-8939-98b0de981ab4,dLocalTest-efce8265-f2c3-48bf-a2aa-b0429718d585,DLPA0288000028134816,2022-11-15 19:48:18,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-e71fc65f-248c-4edd-86ff-d92c66cb0c42,dLocalTest-48e71d17-4735-47a3-adc1-b22a4e0719df,DLPA0288000029134830,2022-11-15 19:48:31,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
T-57873-2bc1d6e0-8e50-451f-b6d8-ac04df3513c0,dLocalTest-1338366c-fdb4-4f84-94aa-6a519e2edbbe,DLPA0288000030134838,2022-11-15 19:48:39,0,1.0,0.05,1.0,0.0495,0.0,0.0,USD,1.0,PA,0,alTe,VI,Visa,CREDIT_CARD,REJECTED
